URL,University Name (Tab Title)
http://akubihar.ac.in/,".:Official Website : Aryabhatta Knowledge University, Patna:."
http://andhrakesariuniversity.in/,Andhra Kesari University; AK Uni
http://bausabour.ac.in/,Bihar Agricultural University
http://beu-bih.ac.in/BEUP/Default.aspx,BEU Bihar
http://bpsmv.digitaluniversity.ac/,Home | Bhagat Phool Singh Mahila Vishwavidyalaya
http://buat.edu.in/,Banda University of Agriculture and Technology | Banda University – Official website of Banda University of Agriculture and Technology
http://buhs.ac.in/,Bihar University Of Health Sciences
http://cbpbu.ac.in/,Coochbehar Panchanan Barma University :: Home
http://cdlu.digitaluniversity.ac/,Home | Chaudhary Devi Lal University
http://csjmu.ac.in/,"CSJM University, Kanpur | Chhatrapati Shahu Ji Maharaj University, Kanpur"
http://cuc.ac.in/,Raja Shankar Shah University – Chhindwara Madhya Pradesh
http://dbranlu.ac.in/,"DR. B.R. AMBEDKAR NATIONAL LAW UNIVERSITY, SONEPAT - (Established under the Haryana State Legislature Act No. 15 of 2012)"
http://dsnlu.ac.in/,DAMODARAM SANJIVAYYA NATIONAL LAW UNIVERSITY
http://gurugramuniversity.ac.in/,Gurugram University
http://iitram.ac.in/,HOME | IITRAM
http://jnafau.ac.in/,JAWAHARLAL NEHRU ARCHITECTURE AND FINE ARTS UNIVERSITY – HYDERABAD – TELANGANA
http://kskvku.digitaluniversity.ac/,Home | Krantiguru Shyamji Krishna Verma Kachchh University
http://ktbuniv.ac.in/,"Home - Krantisurya Tantya Bhil University, Khargone"
http://malayalamuniversity.edu.in/en/,Thunchath Ezhuthachan Malayalam University
http://mdsuajmer.ac.in/,"Welcome to Maharshi Dayanand Saraswati University, Ajmer Maharshi Dayanand Saraswati University, Ajmer | Official Website | MDSU"
http://mygov.in/,MyGov.in | MyGov: A Platform for Citizen Engagement towards Good Governance in India
http://nalsar.ac.in/,Home | NALSAR UNIVERSITY OF LAW
http://nludelhi.ac.in/,Home - National Law University Delhi
http://periyaruniversity.ac.in/,"Periyar University, Salem"
http://raiganjuniversity.ac.in/,Raiganj University
http://rmtmusicandartsuniversity.com/,"Raja Mansingh Tomar Music and Arts University, Gwalior"
http://rrgu.org/,"rrgu.org - Schemes, News, Finance"
http://rusa.nic.in/,RUSA – Rashtriya Uchchatar Shiksha Abhiyan
http://sdsuv.ac.in/,Sri Dev Suman Uttarakhand University
http://skltshu.ac.in/,403 Forbidden
http://skmu.ac.in/,"Sido Kanhu Murmu University, Dumka"
http://skuniversity.ac.in/,Sri Krishnadevaraya University
http://su.digitaluniversity.ac/,Punyashlok Ahilyadevi Holkar Solapur University
http://teluguuniversity.ac.in/,SPRTU – Suravaram Pratapa Reddy Telugu University
http://tnteu.ac.in/,Tamil Nadu Teachers Education University
http://vikramuniv.ac.in/,Home
http://www.aau.ac.in/,AAU
http://www.abvhv.edu.in/,अटल बिहारी हिन्दी विश्वविद्यालय
http://www.aliah.ac.in/,ALIAH UNIVERSITY
http://www.annamalaiuniversity.ac.in/,Annamalai University
http://www.annauniv.edu/,"Anna University, Chennai"
http://www.astu.org.in/,astu.org.in
http://www.aud.ac.in/,Old Page
http://www.ayurveduniversity.edu.in/,Gujarat Ayurved University
http://www.baou.edu.in/,Dr. Babasaheb Ambedkar Open University
http://www.bckv.edu.in/,Home
http://www.bfuhs.ac.in/,"BFUHS - Baba Farid University of Health Sciences, Faridkot"
http://www.bhojvirtualuniversity.com/,Privacy error
http://www.brabu.net/,"Examination Portal of Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur, Bihar"
http://www.brau.edu.in/,"Dr. B. R. Ambedkar University, Srikakulam - BrauWebrp"
http://www.b-u.ac.in/,Bharathiar University | Bharathiar University
http://www.caluniv.ac.in/,University of Calcutta
http://www.cghealthuniv.com/,Download in progress
http://www.cnlu.ac.in/,Chanakya National Law University
http://www.crsujind.org/,Home - Chaudhary Ranbir Singh University JindChaudhary Ranbir Singh University Jind
http://www.csauk.ac.in/,Chandrashekhar Azad University of Agriculture and Technology | Kanpur
http://www.csvtu.ac.in/,Chhattisgarh Swami Vivekanand Technical University – CSVTU
http://www.dauniv.ac.in/,Devi Ahilya Vishwavidyalaya
http://www.davangereuniversity.ac.in/,Davangere University - Davangere University
http://www.dbatu.ac.in/,Dr.Babasaheb Ambedkar Technological University – डॉ. बाबासाहेब आंबेडकर तंत्रशास्त्र विद्यापीठ
http://www.dbskkv.org/,"Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth, Dapoli (Agricultural University)"
http://www.dhwu.ac.in/,Welcome | Diamond Harbour Women´s University
http://www.dibru.ac.in/,Dibrugarh University
http://www.dravidianuniversity.ac.in/,"Dravidian University, Kuppam | Official Website"
http://www.durguniversity.ac.in/,"Hemchand Yadav Vishwavidyalaya, Durg"
http://www.gadvasu.in/,GADVASU - Guru Angad Dev Veterinary And Animal Sciences University
http://www.gauhati.ac.in/,Gauhati University | A NAAC A+ Grade Institution
http://www.gmuniversity.ac.in/,"Gangadhar Meher University, Sambalpur, Odisha"
http://www.gnlu.ac.in/,Gujarat National Law University
http://www.gtu.ac.in/,Welcome to Gujarat Technological University
http://www.guts.education/,"Justin tv izle, Canlı maç izle, justintvizlesene.co"
http://www.hau.ac.in/,"Chaudhary Charan Singh Haryana Agricultural University, Hisar"
http://www.hnlu.ac.in/,Hidayatullah National Law University | HNLU
http://www.iiitd.ac.in/,IIIT-Delhi
http://www.iksv.ac.in/,Indira Kala Sangeet Vishwavidyalaya
http://www.ipu.ac.in/,Guru Gobind Singh Indraprastha University (Official Website)
http://www.islamicuniversity.edu.in/,Privacy error
http://www.jammuuniversity.ac.in/,Privacy error
http://www.jau.in/,Junagadh Agricultural University
http://www.jiwaji.edu/,Home
http://www.jntua.ac.in/,"Jawaharlal Nehru Technological University, Anantapur"
http://www.jntuh.ac.in/,Jawaharlal Nehru Technological University Hyderabad
http://www.jntuk.edu.in/,Jawaharlal Nehru Technological University Kakinada
http://www.jnvu.co.in/,Just a moment...
http://www.kakatiya.ac.in/,"Kakatiya University, Warangal-506009, Telangana, India."
http://www.kannadauniversity.org/,Kannada University
http://www.kau.edu/,Kerala Agricultural University | Towards excellence in Agricultural Education
http://www.kbvsasun.ac.in/,Kumar Bhaskar Varma Sanskrit and Ancient Studies University
http://www.kkhsou.in/,Krishna Kanta Handiqui State Open University
http://www.klyuniv.ac.in/,University of Kalyani
http://www.knu.ac.in/,KNU | Homepage
http://www.kru.ac.in/,Krishna University
http://www.ksdsu.edu.in/,Just a moment...
http://www.ksu.ac.in/,Privacy error
http://www.ktujm.ac.in/,Welcome to Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya
http://www.kud.ac.in/,ಕರ್ನಾಟಕ ವಿಶ್ವವಿದ್ಯಾಲಯ ಧಾರವಾಡ
http://www.kuhs.ac.in/,KUHS - Home
http://www.kuk.ac.in/,Kurukshetra University
http://www.kunainital.ac.in/,"Welcome To The Official Website Of Kumaun University, Nainital | Kumaun University, Nainital"
http://www.lkouniv.ac.in/,University of Lucknow
http://www.magadhuniversity.ac.in/,Welcome To Magadh University Bodh Gaya (Bihar)
http://www.mcu.ac.in/,Makhanlal Chaturvedi Rashtriya Patrakarita Evam Sanchar Vishwavidyalaya
http://www.mgkvp.ac.in/,Mahatma Gandhi Kashi Vidyapith: Home Page
http://www.mgu.ac.in/,"Welcome to MG University, Kottayam"
http://www.mguniversity.ac.in/,"Mahatma Gandhi University, Nalgonda(TS) - Home"
http://www.mlsu.ac.in/,Welcome to Mohanlal Sukhadia University - Udaipur
http://www.mpuat.ac.in/,Maharana Pratap University of Agriculture & Technology
http://www.mtu.ac.in/,MTU
http://www.muc.ac.in/,MUC - Manipur University of Culture
http://www.muhsnashik.com/,muhsnashik.com
http://www.musicuniversity.ac.in/,Music University
http://www.nbu.ac.in/,University of North Bengal
http://www.ndvsu.org/,"Nanaji Deshmukh Veterinary Science University, Jabalpur"
http://www.ngu.ac.in/,"HNGU-Hemchandracharya North Gujarat University,Patan"
