email_address,institute_sr_no,email_seq
vc@cuo.ac.in,1,5
vc@rusa.nic.in,3,5
registrar@aus.ac.in,5,4
vc@aus.ac.in,5,5
vc@bbau.ac.in,6,5
vc@bhu.ac.in,7,5
registrar@cuh.ac.in,8,4
vc@cuh.ac.in,8,5
vc@cuhimachal.ac.in,9,5
vc@cuj.ac.in,10,5
registrar@cujammu.ac.in,11,4
vc@cujammu.ac.in,11,5
registrar@cuk.ac.in,12,4
vc@cuk.ac.in,12,5
vc@cukashmir.ac.in,13,5
vc@cup.ac.in,14,5
registrar@curaj.ac.in,15,4
vc@curaj.ac.in,15,5
vc@cau.ac.in,18,5
registrar@cutn.ac.in,19,4
vc@cutn.ac.in,19,5
vc@dhsgsu.edu.in,20,5
vc@gsv.ac.in,21,5
registrar@aicte-india.org,24,4
vc@aicte-india.org,24,5
vc@cug.ac.in,25,5
vc@cukerala.ac.in,26,5
vc@cusb.ac.in,27,5
registrar@efluniversity.ac.in,28,4
vc@efluniversity.ac.in,28,5
registrar@rpcau.ac.in,30,4
vc@rpcau.ac.in,30,5
vc@akubihar.ac.in,31,5
registrar@bausabour.ac.in,33,4
vc@bausabour.ac.in,33,5
vc@beu-bih.ac.in,34,5
vc@bpsmv.digitaluniversity.ac,35,5
vc@buhs.ac.in,37,5
vc@cdlu.digitaluniversity.ac,39,5
registrar@csjmu.ac.in,40,4
vc@csjmu.ac.in,40,5
vc@dbranlu.ac.in,42,5
vc@dsnlu.ac.in,43,5
vc@gurugramuniversity.ac.in,44,5
registrar@iitram.ac.in,45,4
vc@iitram.ac.in,45,5
registrar@jnafau.ac.in,46,4
vc@jnafau.ac.in,46,5
vc@kskvku.digitaluniversity.ac,47,5
vc@ktbuniv.ac.in,48,5
vc@mdsuajmer.ac.in,50,5
registrar@mygov.in,51,4
vc@mygov.in,51,5
vc@nalsar.ac.in,52,5
vc@nludelhi.ac.in,53,5
registrar@periyaruniversity.ac.in,54,4
vc@periyaruniversity.ac.in,54,5
vc@raiganjuniversity.ac.in,55,5
vc@rmtmusicandartsuniversity.com,56,5
vc@rrgu.org,57,5
vc@sdsuv.ac.in,58,5
vc@skltshu.ac.in,59,5
vc@su.digitaluniversity.ac,62,5
vc@teluguuniversity.ac.in,63,5
vc@tnteu.ac.in,64,5
vc@aau.ac.in,66,5
vc@aliah.ac.in,68,5
vc@annamalaiuniversity.ac.in,69,5
vc@annauniv.edu,70,5
registrar@astu.org.in,71,4
vc@astu.org.in,71,5
vc@aud.ac.in,72,5
vc@ayurveduniversity.edu.in,73,5
registrar@baou.edu.in,74,4
vc@baou.edu.in,74,5
vc@bckv.edu.in,75,5
vc@bhojvirtualuniversity.com,77,5
registrar@brabu.net,78,4
vc@brabu.net,78,5
registrar@caluniv.ac.in,81,4
vc@caluniv.ac.in,81,5
registrar@cghealthuniv.com,82,4
vc@cghealthuniv.com,82,5
vc@cnlu.ac.in,83,5
vc@csvtu.ac.in,86,5
registrar@davangereuniversity.ac.in,88,4
vc@davangereuniversity.ac.in,88,5
vc@dbatu.ac.in,89,5
vc@dbskkv.org,90,5
vc@dhwu.ac.in,91,5
vc@dibru.ac.in,92,5
vc@dravidianuniversity.ac.in,93,5
vc@durguniversity.ac.in,94,5
vc@gadvasu.in,95,5
registrar@gauhati.ac.in,96,4
vc@gauhati.ac.in,96,5
registrar@gmuniversity.ac.in,97,4
vc@gmuniversity.ac.in,97,5
registrar@gnlu.ac.in,98,4
vc@gnlu.ac.in,98,5
vc@gtu.ac.in,99,5
registrar@guts.education,100,4
vc@guts.education,100,5
vc@hau.ac.in,101,5
vc@hnlu.ac.in,102,5
registrar@iiitd.ac.in,103,4
vc@iiitd.ac.in,103,5
vc@iksv.ac.in,104,5
registrar@ipu.ac.in,105,4
vc@ipu.ac.in,105,5
vc@islamicuniversity.edu.in,106,5
vc@jammuuniversity.ac.in,107,5
vc@jau.in,108,5
vc@jiwaji.edu,109,5
vc@jntua.ac.in,110,5
registrar@jntuh.ac.in,111,4
vc@jntuh.ac.in,111,5
vc@jntuk.edu.in,112,5
vc@jnvu.co.in,113,5
vc@kakatiya.ac.in,114,5
vc@kau.edu,116,5
vc@kbvsasun.ac.in,117,5
vc@kkhsou.in,118,5
vc@klyuniv.ac.in,119,5
vc@knu.ac.in,120,5
vc@kru.ac.in,121,5
vc@ksu.ac.in,123,5
registrar@ktujm.ac.in,124,4
vc@ktujm.ac.in,124,5
registrar@kud.ac.in,125,4
vc@kud.ac.in,125,5
registrar@kuhs.ac.in,126,4
vc@kuhs.ac.in,126,5
registrar@kuk.ac.in,127,4
vc@kuk.ac.in,127,5
registrar@kunainital.ac.in,128,4
vc@kunainital.ac.in,128,5
registrar@lkouniv.ac.in,129,4
vc@lkouniv.ac.in,129,5
registrar@magadhuniversity.ac.in,130,4
vc@magadhuniversity.ac.in,130,5
registrar@mcu.ac.in,131,4
vc@mcu.ac.in,131,5
registrar@mgkvp.ac.in,132,4
vc@mgkvp.ac.in,132,5
registrar@mgu.ac.in,133,4
vc@mgu.ac.in,133,5
registrar@mguniversity.ac.in,134,4
vc@mguniversity.ac.in,134,5
registrar@mlsu.ac.in,135,4
vc@mlsu.ac.in,135,5
registrar@mpuat.ac.in,136,4
vc@mpuat.ac.in,136,5
registrar@mtu.ac.in,137,4
vc@mtu.ac.in,137,5
registrar@muc.ac.in,138,4
vc@muc.ac.in,138,5
registrar@muhsnashik.com,139,4
vc@muhsnashik.com,139,5
registrar@musicuniversity.ac.in,140,4
vc@musicuniversity.ac.in,140,5
registrar@nbu.ac.in,141,4
vc@nbu.ac.in,141,5
vc@ndvsu.org,142,5
vc@ngu.ac.in,143,5
vc@nims.edu.in,144,5
vc@nliu.ac.in,145,5
vc@nluassam.ac.in,146,5
vc@nlujodhpur.ac.in,147,5
vc@nluo.ac.in,148,5
vc@nou.nic.in,149,5
vc@npu.ac.in,150,5
vc@nrupathungauniversityblr.ac.in,151,5
vc@nujs.edu,152,5
vc@palamuruuniversity.ac.in,153,5
vc@patnauniversity.ac.in,154,5
registrar@pjtsau.edu.in,155,4
vc@pjtsau.edu.in,155,5
vc@policeuniversity.ac.in,156,5
vc@ppup.ac.in,157,5
