"email_address","institute_sr_no","email_seq","ZB Status","ZB Sub status","ZB Account","ZB Free Email"
"vc@cuo.ac.in","1","5","valid","","vc","False"
"vc@rusa.nic.in","3","5","invalid","no_dns_entries","vc","False"
"registrar@aus.ac.in","5","4","do_not_mail","possible_trap","registrar","False"
"vc@aus.ac.in","5","5","valid","","vc","False"
"vc@bbau.ac.in","6","5","valid","","vc","False"
"vc@bhu.ac.in","7","5","valid","","vc","False"
"registrar@cuh.ac.in","8","4","do_not_mail","possible_trap","registrar","False"
"vc@cuh.ac.in","8","5","valid","","vc","False"
"vc@cuhimachal.ac.in","9","5","valid","","vc","False"
"vc@cuj.ac.in","10","5","valid","","vc","False"
"registrar@cujammu.ac.in","11","4","do_not_mail","possible_trap","registrar","False"
"vc@cujammu.ac.in","11","5","valid","","vc","False"
"registrar@cuk.ac.in","12","4","do_not_mail","possible_trap","registrar","False"
"vc@cuk.ac.in","12","5","valid","","vc","False"
"vc@cukashmir.ac.in","13","5","valid","","vc","False"
"vc@cup.ac.in","14","5","unknown","failed_smtp_connection","vc","False"
"registrar@curaj.ac.in","15","4","do_not_mail","possible_trap","registrar","False"
"vc@curaj.ac.in","15","5","valid","","vc","False"
"vc@cau.ac.in","18","5","valid","","vc","False"
"registrar@cutn.ac.in","19","4","do_not_mail","possible_trap","registrar","False"
"vc@cutn.ac.in","19","5","catch-all","","vc","False"
"vc@dhsgsu.edu.in","20","5","valid","","vc","False"
"vc@gsv.ac.in","21","5","invalid","mailbox_not_found","vc","False"
"registrar@aicte-india.org","24","4","do_not_mail","possible_trap","registrar","False"
"vc@aicte-india.org","24","5","unknown","exception_occurred","vc","False"
"vc@cug.ac.in","25","5","valid","","vc","False"
"vc@cukerala.ac.in","26","5","valid","","vc","False"
"vc@cusb.ac.in","27","5","valid","","vc","False"
"registrar@efluniversity.ac.in","28","4","do_not_mail","possible_trap","registrar","False"
"vc@efluniversity.ac.in","28","5","valid","","vc","False"
"registrar@rpcau.ac.in","30","4","do_not_mail","possible_trap","registrar","False"
"vc@rpcau.ac.in","30","5","valid","","vc","False"
"vc@akubihar.ac.in","31","5","valid","","vc","False"
"registrar@bausabour.ac.in","33","4","do_not_mail","possible_trap","registrar","False"
"vc@bausabour.ac.in","33","5","valid","","vc","False"
"vc@beu-bih.ac.in","34","5","invalid","does_not_accept_mail","vc","False"
"vc@bpsmv.digitaluniversity.ac","35","5","invalid","does_not_accept_mail","vc","False"
"vc@buhs.ac.in","37","5","invalid","does_not_accept_mail","vc","False"
"vc@cdlu.digitaluniversity.ac","39","5","invalid","does_not_accept_mail","vc","False"
"registrar@csjmu.ac.in","40","4","do_not_mail","possible_trap","registrar","False"
"vc@csjmu.ac.in","40","5","valid","","vc","False"
"vc@dbranlu.ac.in","42","5","valid","","vc","False"
"vc@dsnlu.ac.in","43","5","valid","","vc","False"
"vc@gurugramuniversity.ac.in","44","5","valid","","vc","False"
"registrar@iitram.ac.in","45","4","do_not_mail","possible_trap","registrar","False"
"vc@iitram.ac.in","45","5","invalid","mailbox_not_found","vc","False"
"registrar@jnafau.ac.in","46","4","do_not_mail","possible_trap","registrar","False"
"vc@jnafau.ac.in","46","5","valid","","vc","False"
"vc@kskvku.digitaluniversity.ac","47","5","invalid","does_not_accept_mail","vc","False"
"vc@ktbuniv.ac.in","48","5","invalid","does_not_accept_mail","vc","False"
"vc@mdsuajmer.ac.in","50","5","valid","","vc","False"
"registrar@mygov.in","51","4","do_not_mail","possible_trap","registrar","False"
"vc@mygov.in","51","5","catch-all","","vc","False"
"vc@nalsar.ac.in","52","5","valid","","vc","False"
"vc@nludelhi.ac.in","53","5","valid","","vc","False"
"registrar@periyaruniversity.ac.in","54","4","do_not_mail","possible_trap","registrar","False"
"vc@periyaruniversity.ac.in","54","5","valid","","vc","False"
"vc@raiganjuniversity.ac.in","55","5","valid","","vc","False"
"vc@rmtmusicandartsuniversity.com","56","5","invalid","does_not_accept_mail","vc","False"
"vc@rrgu.org","57","5","invalid","does_not_accept_mail","vc","False"
"vc@sdsuv.ac.in","58","5","valid","","vc","False"
"vc@skltshu.ac.in","59","5","valid","","vc","False"
"vc@su.digitaluniversity.ac","62","5","invalid","does_not_accept_mail","vc","False"
"vc@teluguuniversity.ac.in","63","5","valid","","vc","False"
"vc@tnteu.ac.in","64","5","valid","","vc","False"
"vc@aau.ac.in","66","5","valid","","vc","False"
