"email_address","institute_sr_no","email_seq","ZB Status","ZB Sub status","ZB Account","ZB Free Email"
"vc@cutn.ac.in","19","5","catch-all","","vc","False"
"vc@mygov.in","51","5","catch-all","","vc","False"
"vc@astu.org.in","71","5","catch-all","","vc","False"
"vc@brabu.net","78","5","catch-all","","vc","False"
"vc@caluniv.ac.in","81","5","catch-all","","vc","False"
"vc@cghealthuniv.com","82","5","catch-all","","vc","False"
"vc@cnlu.ac.in","83","5","catch-all","","vc","False"
"vc@jntuh.ac.in","111","5","catch-all","","vc","False"
"vc@magadhuniversity.ac.in","130","5","catch-all","","vc","False"
"vc@muc.ac.in","138","5","catch-all","","vc","False"
"vc@pjtsau.edu.in","155","5","catch-all","","vc","False"
"vc@prsu.ac.in","158","5","catch-all","","vc","False"
"vc@uasd.edu","189","5","catch-all","","vc","False"
"vc@ugcnetonline.in","193","5","catch-all","","vc","False"
"vc@unipune.ac.in","195","5","catch-all","","vc","False"
"vc@yspuniversity.ac.in","211","5","catch-all","","vc","False"
"vc@ahuuk.ac.in","213","5","catch-all","","vc","False"
"vc@dbrau.ac.in","234","5","catch-all","","vc","False"
"vc@hju.ac.in","251","5","catch-all","","vc","False"
"vc@hpuniv.ac.in","252","5","catch-all","","vc","False"
"vc@india.gov.in","254","5","catch-all","","vc","False"
"vc@kuu.ac.in","272","5","catch-all","","vc","False"
"vc@ptu.ac.in","300","5","catch-all","","vc","False"
"vc@vsuraj.ac.in","329","5","catch-all","","vc","False"
"vc@bongaigaoncollege.ac.in","342","5","catch-all","","vc","False"
"vc@hindiuniv.ac.in","362","5","catch-all","","vc","False"
"vc@instagram.com","367","5","catch-all","","vc","False"
"vc@janapadauniversity.ac.in","368","5","catch-all","","vc","False"
"vc@nlunagpur.ac.in","392","5","catch-all","","vc","False"
"vc@tamiluniversity.ac.in","413","5","catch-all","","vc","False"
"vc@upums.ac.in","425","5","catch-all","","vc","False"
"vc@uuhf.ac.in","427","5","catch-all","","vc","False"
"vc@jvbi.ac.in","436","5","catch-all","","vc","False"
"vc@iacs.res.in","453","5","catch-all","","vc","False"
"vc@iiitb.ac.in","461","5","catch-all","","vc","False"
"vc@iist.ac.in","462","5","catch-all","","vc","False"
"vc@nbrc.ac.in","471","5","catch-all","","vc","False"
"vc@nerist.ac.in","472","5","catch-all","","vc","False"
"vc@prist.ac.in","477","5","catch-all","","vc","False"
"vc@sahetumkur.ac.in","479","5","catch-all","","vc","False"
"vc@tmv.edu.in","491","5","catch-all","","vc","False"
"vc@dypatilunikop.org","499","5","catch-all","","vc","False"
"vc@ftii.ac.in","500","5","catch-all","","vc","False"
"vc@iifm.ac.in","504","5","catch-all","","vc","False"
"vc@nitttrbpl.ac.in","524","5","catch-all","","vc","False"
"vc@srfti.ac.in","530","5","catch-all","","vc","False"
"vc@diat.ac.in","546","5","catch-all","","vc","False"
"vc@ilbs.in","552","5","catch-all","","vc","False"
"vc@nitttrc.ac.in","561","5","catch-all","","vc","False"
"vc@terisas.ac.in","576","5","catch-all","","vc","False"
"vc@tifr.res.in","578","5","catch-all","","vc","False"
"vc@bhagwantuniversity.com","586","5","catch-all","","vc","False"
"vc@cmchbhopal.com","588","5","catch-all","","vc","False"
"vc@tantiauniversity.com","618","5","catch-all","","vc","False"
"vc@ahu.ac.in","634","5","catch-all","","vc","False"
"vc@aksuniversity.ac.in","637","5","catch-all","","vc","False"
"vc@arunachaluniversity.ac.in","641","5","catch-all","","vc","False"
"vc@maharishiuniversity.ac.in","714","5","catch-all","","vc","False"
"vc@nicmar.ac.in","731","5","catch-all","","vc","False"
"vc@pdpu.ac.in","741","5","catch-all","","vc","False"
"vc@technoindiauniversity.ac.in","785","5","catch-all","","vc","False"
"vc@worlduniversityofdesign.ac.in","802","5","catch-all","","vc","False"
"vc@avantikauniversity.edu.in","841","5","catch-all","","vc","False"
"vc@dyp-atu.edu.in","860","5","catch-all","","vc","False"
"vc@fsu.edu.in","864","5","catch-all","","vc","False"
"vc@kaveriuniversity.edu.in","898","5","catch-all","","vc","False"
"vc@kishkindauniversity.edu.in","899","5","catch-all","","vc","False"
"vc@knu.edu.in","902","5","catch-all","","vc","False"
"vc@reva.edu.in","938","5","catch-all","","vc","False"
"vc@vijaybhoomi.edu.in","991","5","catch-all","","vc","False"
"vc@sgrduhs.in","1018","5","catch-all","","vc","False"
"vc@rkdfuniversity.org","1038","5","catch-all","","vc","False"
