"email_address","institute_sr_no","email_seq","ZB Status","ZB Sub status","ZB Account","ZB Free Email"
"registrar@aus.ac.in","5","4","do_not_mail","possible_trap","registrar","False"
"registrar@cuh.ac.in","8","4","do_not_mail","possible_trap","registrar","False"
"registrar@cujammu.ac.in","11","4","do_not_mail","possible_trap","registrar","False"
"registrar@cuk.ac.in","12","4","do_not_mail","possible_trap","registrar","False"
"registrar@curaj.ac.in","15","4","do_not_mail","possible_trap","registrar","False"
"registrar@cutn.ac.in","19","4","do_not_mail","possible_trap","registrar","False"
"registrar@aicte-india.org","24","4","do_not_mail","possible_trap","registrar","False"
"registrar@efluniversity.ac.in","28","4","do_not_mail","possible_trap","registrar","False"
"registrar@rpcau.ac.in","30","4","do_not_mail","possible_trap","registrar","False"
"registrar@bausabour.ac.in","33","4","do_not_mail","possible_trap","registrar","False"
"registrar@csjmu.ac.in","40","4","do_not_mail","possible_trap","registrar","False"
"registrar@iitram.ac.in","45","4","do_not_mail","possible_trap","registrar","False"
"registrar@jnafau.ac.in","46","4","do_not_mail","possible_trap","registrar","False"
"registrar@mygov.in","51","4","do_not_mail","possible_trap","registrar","False"
"registrar@periyaruniversity.ac.in","54","4","do_not_mail","possible_trap","registrar","False"
"registrar@astu.org.in","71","4","do_not_mail","possible_trap","registrar","False"
"registrar@baou.edu.in","74","4","do_not_mail","possible_trap","registrar","False"
"registrar@brabu.net","78","4","do_not_mail","possible_trap","registrar","False"
"registrar@caluniv.ac.in","81","4","do_not_mail","possible_trap","registrar","False"
"registrar@cghealthuniv.com","82","4","do_not_mail","possible_trap","registrar","False"
"registrar@davangereuniversity.ac.in","88","4","do_not_mail","possible_trap","registrar","False"
"registrar@gauhati.ac.in","96","4","do_not_mail","possible_trap","registrar","False"
"registrar@gmuniversity.ac.in","97","4","do_not_mail","possible_trap","registrar","False"
"registrar@gnlu.ac.in","98","4","do_not_mail","possible_trap","registrar","False"
"registrar@iiitd.ac.in","103","4","do_not_mail","possible_trap","registrar","False"
"registrar@ipu.ac.in","105","4","do_not_mail","possible_trap","registrar","False"
"registrar@jntuh.ac.in","111","4","do_not_mail","possible_trap","registrar","False"
"registrar@ktujm.ac.in","124","4","do_not_mail","possible_trap","registrar","False"
"registrar@kud.ac.in","125","4","do_not_mail","possible_trap","registrar","False"
"registrar@kuhs.ac.in","126","4","do_not_mail","possible_trap","registrar","False"
"registrar@kuk.ac.in","127","4","do_not_mail","possible_trap","registrar","False"
"registrar@kunainital.ac.in","128","4","do_not_mail","possible_trap","registrar","False"
"registrar@lkouniv.ac.in","129","4","do_not_mail","possible_trap","registrar","False"
"registrar@magadhuniversity.ac.in","130","4","do_not_mail","possible_trap","registrar","False"
"registrar@mcu.ac.in","131","4","do_not_mail","possible_trap","registrar","False"
"registrar@mgkvp.ac.in","132","4","do_not_mail","possible_trap","registrar","False"
"registrar@mgu.ac.in","133","4","do_not_mail","possible_trap","registrar","False"
"registrar@mguniversity.ac.in","134","4","do_not_mail","possible_trap","registrar","False"
"registrar@mlsu.ac.in","135","4","do_not_mail","possible_trap","registrar","False"
"registrar@mpuat.ac.in","136","4","do_not_mail","possible_trap","registrar","False"
"registrar@mtu.ac.in","137","4","do_not_mail","possible_trap","registrar","False"
"registrar@muc.ac.in","138","4","do_not_mail","possible_trap","registrar","False"
"registrar@muhsnashik.com","139","4","do_not_mail","global_suppression","registrar","False"
"vc@muhsnashik.com","139","5","do_not_mail","global_suppression","vc","False"
"registrar@musicuniversity.ac.in","140","4","do_not_mail","possible_trap","registrar","False"
"registrar@nbu.ac.in","141","4","do_not_mail","possible_trap","registrar","False"
"registrar@pjtsau.edu.in","155","4","do_not_mail","possible_trap","registrar","False"
"vc@pssou.ac.in","159","5","do_not_mail","mx_forward","vc","False"
"registrar@ranchiuniversity.ac.in","162","4","do_not_mail","possible_trap","registrar","False"
"registrar@raubikaner.org","163","4","do_not_mail","possible_trap","registrar","False"
"registrar@rbu.ac.in","164","4","do_not_mail","possible_trap","registrar","False"
"registrar@rgnul.ac.in","166","4","do_not_mail","possible_trap","registrar","False"
"registrar@rguhs.ac.in","167","4","do_not_mail","possible_trap","registrar","False"
