"email_address","institute_sr_no","email_seq","ZB Status","ZB Sub status","ZB Account","ZB Free Email"
"vc@rusa.nic.in","3","5","invalid","no_dns_entries","vc","False"
"vc@gsv.ac.in","21","5","invalid","mailbox_not_found","vc","False"
"vc@beu-bih.ac.in","34","5","invalid","does_not_accept_mail","vc","False"
"vc@bpsmv.digitaluniversity.ac","35","5","invalid","does_not_accept_mail","vc","False"
"vc@buhs.ac.in","37","5","invalid","does_not_accept_mail","vc","False"
"vc@cdlu.digitaluniversity.ac","39","5","invalid","does_not_accept_mail","vc","False"
"vc@iitram.ac.in","45","5","invalid","mailbox_not_found","vc","False"
"vc@kskvku.digitaluniversity.ac","47","5","invalid","does_not_accept_mail","vc","False"
"vc@ktbuniv.ac.in","48","5","invalid","does_not_accept_mail","vc","False"
"vc@rmtmusicandartsuniversity.com","56","5","invalid","does_not_accept_mail","vc","False"
"vc@rrgu.org","57","5","invalid","does_not_accept_mail","vc","False"
"vc@su.digitaluniversity.ac","62","5","invalid","does_not_accept_mail","vc","False"
"vc@aliah.ac.in","68","5","invalid","mailbox_not_found","vc","False"
"vc@annamalaiuniversity.ac.in","69","5","invalid","mailbox_not_found","vc","False"
"vc@bhojvirtualuniversity.com","77","5","invalid","does_not_accept_mail","vc","False"
"vc@dbskkv.org","90","5","invalid","does_not_accept_mail","vc","False"
"vc@dravidianuniversity.ac.in","93","5","invalid","mailbox_not_found","vc","False"
"vc@durguniversity.ac.in","94","5","invalid","mailbox_not_found","vc","False"
"registrar@guts.education","100","4","invalid","does_not_accept_mail","registrar","False"
"vc@guts.education","100","5","invalid","does_not_accept_mail","vc","False"
"vc@iiitd.ac.in","103","5","invalid","mailbox_not_found","vc","False"
"vc@jiwaji.edu","109","5","invalid","mailbox_not_found","vc","False"
"vc@jnvu.co.in","113","5","invalid","does_not_accept_mail","vc","False"
"vc@kau.edu","116","5","invalid","does_not_accept_mail","vc","False"
"vc@klyuniv.ac.in","119","5","invalid","mailbox_not_found","vc","False"
"vc@ktujm.ac.in","124","5","invalid","mailbox_not_found","vc","False"
"vc@mguniversity.ac.in","134","5","invalid","mailbox_not_found","vc","False"
"vc@nbu.ac.in","141","5","invalid","mailbox_not_found","vc","False"
"vc@ndvsu.org","142","5","invalid","does_not_accept_mail","vc","False"
"vc@nims.edu.in","144","5","invalid","mailbox_not_found","vc","False"
"vc@nrupathungauniversityblr.ac.in","151","5","invalid","does_not_accept_mail","vc","False"
"vc@palamuruuniversity.ac.in","153","5","invalid","mailbox_not_found","vc","False"
"vc@puchd.ac.in","160","5","invalid","does_not_accept_mail","vc","False"
"vc@punjabiuniversity.ac.in","161","5","invalid","does_not_accept_mail","vc","False"
"vc@raubikaner.org","163","5","invalid","mailbox_not_found","vc","False"
