"email_address","institute_sr_no","email_seq","ZB Status","ZB Sub status","ZB Account","ZB Free Email"
"vc@cup.ac.in","14","5","unknown","failed_smtp_connection","vc","False"
"vc@aicte-india.org","24","5","unknown","exception_occurred","vc","False"
"vc@ayurveduniversity.edu.in","73","5","unknown","exception_occurred","vc","False"
"vc@nou.nic.in","149","5","unknown","failed_smtp_connection","vc","False"
"vc@svvedicuniversity.ac.in","184","5","unknown","failed_smtp_connection","vc","False"
"vc@bcu.ac.in","223","5","unknown","antispam_system","vc","False"
"vc@mpmsu.edu.in","285","5","unknown","failed_smtp_connection","vc","False"
"vc@biswabanglabiswabidyalay.org","340","5","unknown","failed_smtp_connection","vc","False"
"vc@muoc.ac.in","388","5","unknown","failed_smtp_connection","vc","False"
"vc@yisu.in","433","5","unknown","antispam_system","vc","False"
"vc@sliet.ac.in","437","5","unknown","antispam_system","vc","False"
"vc@saveetha.com","481","5","unknown","antispam_system","vc","False"
"vc@iihs.co.in","505","5","unknown","antispam_system","vc","False"
"vc@skuindia.com","615","5","unknown","antispam_system","","False"
"vc@iecuniversity.ac.in","688","5","unknown","antispam_system","vc","False"
"vc@juet.ac.in","703","5","unknown","forcible_disconnect","vc","False"
"vc@juit.ac.in","704","5","unknown","forcible_disconnect","vc","False"
"vc@mauj.ac.in","718","5","unknown","antispam_system","vc","False"
"vc@dsu.edu.in","859","5","unknown","antispam_system","vc","False"
"vc@rnbglobal.edu.in","939","5","unknown","antispam_system","vc","False"
